Category         Instruction         legal  fp_val  fp_single  uopc             iq_type   fu_code    dst_type  rs1_type  rs2_type  frs3_en  imm_sel  uses_ldq  uses_stq  is_amo  is_fence  is_fencei  mem_cmd    wakeup_delay  bypassable  is_br  is_sys_pc2epc  inst_unique  flush_on_commit  csr_cmd  is_rvv  can_be_split  uses_vm  v_ls_ew   vstart_is_zero  allow_vd_is_v0  not_use_vtype  vd_unequal_vs1  vd_unequal_vs2
XInt             CSRRS               Y      N       X          uopCSRRS         IQT_INT   FU_CSR     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.S    N       N             N        DC2       N               N               N              N               N
XInt             CSRRC               Y      N       X          uopCSRRC         IQT_INT   FU_CSR     RT_FIX    RT_FIX    RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.C    N       N             N        DC2       N               N               N              N               N
XInt             CSRRWI              Y      N       X          uopCSRRWI        IQT_INT   FU_CSR     RT_FIX    RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.W    N       N             N        DC2       N               N               N              N               N
XInt             CSRRSI              Y      N       X          uopCSRRSI        IQT_INT   FU_CSR     RT_FIX    RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.S    N       N             N        DC2       N               N               N              N               N
XInt             CSRRCI              Y      N       X          uopCSRRCI        IQT_INT   FU_CSR     RT_FIX    RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.C    N       N             N        DC2       N               N               N              N               N
XInt             SFENCE_VMA          Y      N       X          uopSFENCE        IQT_MEM   FU_MEM     RT_X      RT_FIX    RT_FIX    N        IS_X     N         N         N       N         N          M_SFENCE   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SCALL               Y      N       X          uopERET          IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      Y              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             SBREAK              Y      N       X          uopERET          IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      Y              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             SRET                Y      N       X          uopERET          IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             MRET                Y      N       X          uopERET          IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             DRET                Y      N       X          uopERET          IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_I     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             WFI                 Y      N       X          uopWFI           IQT_INT   FU_CSR     RT_X      RT_X      RT_X      N        IS_X     N         N         N       N         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.I    N       N             N        DC2       N               N               N              N               N
XInt             FENCE_I             Y      N       X          uopNOP           IQT_INT   FU_X       RT_X      RT_X      RT_X      N        IS_X     N         N         N       N         Y          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             FENCE               Y      N       X          uopFENCE         IQT_INT   FU_MEM     RT_X      RT_X      RT_X      N        IS_X     N         Y         N       Y         N          M_X        0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOADD_W            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_ADD   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOXOR_W            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_XOR   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOSWAP_W           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_SWAP  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
